timestamp,server,database,sql,success,rows_affected,duration_ms
2026-06-17T23:24:08.304718,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil,True,2166288,22381
2026-06-17T23:32:15.221920,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025,True,0,221
2026-06-17T23:37:49.206205,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025,True,0,209
2026-06-17T23:46:06.374307,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025,True,0,88
2026-06-18T00:30:22.152069,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) from lancamento_contabil where exercicio >= 2025,True,1,102
2026-06-18T00:30:39.086239,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) --delete from lancamento_contabil where exercicio >= 2025,True,1,86
2026-06-18T00:30:47.505321,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) --delete from lancamento_contabil where exercicio >= 2025,True,1,88
2026-06-18T00:30:52.342415,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) --delete from lancamento_contabil where exercicio >= 2025,True,1,84
2026-06-18T00:31:05.051814,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) --delete from lancamento_contabil where exercicio >= 2025,True,1,112
2026-06-18T00:31:07.351199,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) --delete from lancamento_contabil where exercicio >= 2025,True,1,103
2026-06-18T00:31:08.598700,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) --delete from lancamento_contabil where exercicio >= 2025,True,1,102
2026-06-18T00:31:09.044979,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) --delete from lancamento_contabil where exercicio >= 2025,True,1,112
2026-06-18T00:31:23.572279,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) from lancamento_contabil where exercicio >= 2025 --delete from lancamento_contabil where exercicio >= 2025,True,1,95
2026-06-18T00:31:52.091345,"192.168.11.247, 1433",ERPMIRA,select count(num_lancto) from lancamento_contabil where exercicio >= 2025 --delete from lancamento_contabil where exercicio > 2024,True,1,107
2026-06-18T00:32:12.354996,"192.168.11.247, 1433",ERPMIRA,select *from lancamento_contabil where exercicio > 2024  --delete from lancamento_contabil where exercicio > 2024,True,12000,388
2026-06-18T00:33:01.268320,"192.168.11.247, 1433",ERPMIRA,select *from lancamento_contabil where exercicio > 2024  --delete from lancamento_contabil where exercicio >= 2025.0,True,12000,396
2026-06-18T00:33:16.951953,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025.0  --delete from lancamento_contabil where exercicio >= 2025.0,True,12000,512
2026-06-18T00:34:01.024316,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025.0  --delete from lancamento_contabil where exercicio >= 2025.0 and num_lancto > 0,True,12000,371
2026-06-18T00:34:06.672793,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025.0  --delete from lancamento_contabil where exercicio >= 2025.0 and num_lancto > 0,True,12000,393
2026-06-18T00:35:21.539928,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025.0  delete from lancamento_contabil where exercicio = 2025 and num_lancto between 210304 and 243417,True,12000,659
2026-06-18T00:35:30.070229,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025.0  delete from lancamento_contabil where exercicio = 2025 and num_lancto between 210304 and 243417,True,0,135
2026-06-18T00:37:38.964101,"192.168.11.247, 1433",ERPMIRA,select * from lancamento_contabil where exercicio >= 2025,True,5000,331
2026-06-18T00:37:51.849411,"192.168.11.247, 1433",ERPMIRA,select *  delete from lancamento_contabil where exercicio >= 2025,False,0,15
2026-06-18T00:38:10.894515,"192.168.11.247, 1433",ERPMIRA,select *   delete from lancamento_contabil where exercicio >= 2025,False,0,13
2026-06-18T00:38:14.545558,"192.168.11.247, 1433",ERPMIRA,select *   delete from lancamento_contabil where exercicio >= 2025,False,0,12
2026-06-18T00:38:26.217749,"192.168.11.247, 1433",ERPMIRA,select *   --delete  from lancamento_contabil where exercicio >= 2025,True,5000,283
2026-06-18T00:38:38.012334,"192.168.11.247, 1433",ERPMIRA,select *   from lancamento_contabil where exercicio >= 2025,True,5000,284
2026-06-18T00:38:54.954071,"192.168.11.247, 1433",ERPMIRA,delete from lancamento_contabil where exercicio >= 2025,True,5000,216
